89504: How well prepared do you feel you were for using ePad?†,89505: How would you prepare new students in using ePad?,89506: What changes would you suggest to the school in the design of ePad?,89507: What guidance would you like to see added to the repository in Canvas?
Very well,Maybe by giving a booklet for reminders when out on placement or at home,The skills log is the only thing that could be changed. This is due to the student not being able to write or tick anything on this section†,Guidance on how the reflection or comments should be written as from a students perspective we dont know if we are writing to much or not enough. And mentors do not know whether they are writing the right thing in the comments
Very well prepared .,"You did a good job showing students how to navigate around Epad, shame it couldn't be said about mentors .","Too many tabs, it Would be better if it could be put into one. Also it would be nice to have visibility of what we have completed, easier for both mentors (different placements) and students to see where you are with goals.",Not sure to be honest.
"Very well prepared. Found no issues using ePad. Though I am very IT literate, and some students are not. I was lucky my mentor understood how to use ePad, but other students on my placement had mentors which struggled to navigate it.","I would perhaps give them a mock run through of how to use it, filling in practice standard evidence forms and submitting them.",None.,N\A
Very well prepared† as I attended all sessions and drop-in sessions. ePad was explained and showed very well.†,The way we have been prepared has been good. I would possible use it for SFP in the same way it used in placements to help us get used to attaching evidence and so on.†,"A short clarification of some of the skills required - e.g. do we need to DO the skill or show we know how?†

Keeping year 2 and 3 standards/skills locked until required - it's pretty daunting!†",I think the guidance provided is excellent.†
We had a numerous of sessions on using ePad which i found helpful. Although i did not feel comfortable at first once you start using it you find it easier.,Make yourself familiar with the set up and what needs to be completed before going out into placement.,I think it is quite clear is the design but to add a page with advice for students so they are clear what they have to complete by the end of each year and contact numbers available on there too.,Advice for mentors and students as mentors do find pebble pad confusing.
"We were given opportunities to learn how to navigate and use epad which i appreciated but the problems we faced using it whilst in practice negated how well prepared i originally felt about using it.†

I have to say that in light of the problems over half the group experienced during our first placement, it was quite frustrating being told before our first placement that epad is ""a simple enough process and that we are adult learners"" so our epads are our responsibility.

Whilst I appreciate this sentiment, the process,† ""simple"" enough as it was,† clearly didn't work in the way it should. This was exacerbated by the fact that many of the mentors knew nothing about it.

It came across as conderscending and failed to acknowledge the fact that many people, a) don't necessarily feel confident in their IT† abilities (despite showing willingness to learn),† and b) that epad had never been used on a group that large before.†

†

†

†

†

†","I think the main issue is making sure the mentors are prepared using it. Had we not had the issues we had I would have been alright using it thanks to the learning opportunities we had been given. My mentor on the other hand had never heard of it and didnt receive training until 2 weeks after my placment commenced. This was compounded by the fact she couldn't even get on it until help@hull or whoever intervened.†

†

†

†

†","I would suggest blacking out the placement tabs that aren't relevant. I accidentally at one point started filling in the details for my placement in placement 3s boxes which was a pain.†

†

†

†","I† know we were sent several emails with regards to getting support with epad so I would assume these would be on cavas also. I can't remember if this was the case but if not,† wack the details on there as well.†

†

†"
well prepared,by doing more teaching sessions,,
well prepared,lecture and teaching on ePad,not sure†,I thinks its easy once you have play around with it and get to grips on how to use it. if you do struggle with anything there is support.
"Well prepared from a technical/functional point of view. Very badly prepared from a CONTENT point of view. i.e what sort of thing to write on it, what constitutes evidence and what does not, how much to put on to each part.","It might have been useful to show us what came before (the paper doc). As I have never seen one of these I had no idea what sort of content went into a PAD doc. I would have done all the training ON a PC rather than any in a lecture hall. I would have a series of real life scenarios to work through with students one by one to give examples of how to use the system in real time.

eg. example 1. You have come to the end of your first week on placement. You are ready to complete your attendance sheet. you worked blah blah shifts and had one day out on a training course at humber centre. 3 of your shifts were spent with your mentor. Now complete and save the attendance form correctly

eg. example 2. You have spent a morning with the OT on community visits. use your pebblepad app to now record this and ask her to sign your app-now send it to your pebble pad and decide where to use this evidence.

eg. You were involved in an incident where you faced some challenging behaviour. You decide you want to write a reflection about this. (give an example of a suitable reflection). type this into p.pad and decide where would be good to use this as evidence

eg. You attend a Disability show. You collected lots of leaflets and info. Decide what from this material constiututes ""evidence"" and decide where on the standards/skills it could be used and put it on there

eg. You refer a community client to another service using a proforma. (have an example). Can you anonymise this and use it as evidence on you pebblepad and related to what standard?

So-I could go on and on-but basically, a workshop with real life examples-so showing examples of evidence and relevent stuff that can be used at the same time as learning where to use it and how to put it on.",,can't think of anything except examples of what constitutes evidence and examples of things correctly completed. I know you had no examples/have none but you could just make some up.
"well prepared in general, the lectures were clear and concise.",Inform them that mentors will need additional support.,"simpler design and user interface. The overall tool works well, however can be flawed as it can occasionaly not save edits or create duplicates of the main workbook.",mentor support notes
Well prepared.,I think the preparation we had was good. But during the placement I felt a bit unsupported when I had doubts and questions. Especially because it felt that if we made one mistake it could be a big problem for passing this module.,"I think the major problem with the epad is not related with the program. It is easy to use,once you ÄúplayÄù a bit with it. The major problem is that while in placement it is not easy to access it has there are not enough computers. You feel bad if you use you phone to work. It also makes it very difficult to be aware of what you have to achieve. And to communicate that to your mentors for them to help you. †Maybe † There should be a paper copy in each ward so that you can look at it and consult it.†

Another thing I would point I'd that there are loads of points you have to achieve and you loose the sense of how many because you only see some of this points in each page.

†",I don't understand this question. What is the repository in Canvas?
Well prepared.,By encouraging them to use it frequently at their spare time so as to get use to it.,using paper forms also for backup to prevent unforseen circumstances..,Nil
"Without the session from Tony Chambers would wouldn't have stood a chance at EPAD, however I do think Epad was made out to be more complex than it actually was, as once you get used to it its pretty much straight forward.",I would do the same sessions as before but I would recommend you start training them earlier in it like September time so they have longer to get used to the system.,I would recommend you train the mentors better as when I was on placement some of the mentors had never heard of Pebblepad. I would also recommend you hold a range of training sessions for mentors as their wasn't enough for them and I make sure if your giving a student a mentor make sure they have a login nearly every mentor †on my ward didn't have a log in so the students had to email for them and that put delays on the initial and immediate interviews. I would also suggest you don't make pebblepad seem complicated as its really not but it came across that way and therefore students where completing the wrong sections and boxes.,I don't think it should all be on canvas I think more sessions should be held so students can have conversations with the session runners and get a better understanding. But I would put a few step by step explanations on canvas for those who cannot attend the sessions.
